,CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
1733,4,59,Reputation,18283,10,1014,,3781,167,159
1734,0,59,Reputation,18283,2,1014,,3781,169,159
1735,0,59,Reputation,18283,8,1014,,3781,171,159
1736,0,59,Reputation,18283,35,1014,,3781,174,159
1737,2,59,Reputation,18283,22,1014,,3781,177,159
1738,0,59,Reputation,18283,12,1014,,3781,179,159
1739,0,59,Reputation,18283,50,1014,39097.0,3781,181,159
1740,0,59,Reputation,18283,6,1014,,3781,184,159
1741,3,59,Reputation,18283,51,1014,9772.0,3781,213,159
1742,2,59,Reputation,18283,15,1014,,3781,221,159
1743,2,59,Reputation,18283,10,1014,,3781,229,159
1744,4,59,Reputation,18283,12,1014,,3781,261,159
1745,2,59,Reputation,18283,27,1014,,3781,370,159
1746,0,59,Reputation,18283,8,1014,,3781,530,159
1747,0,59,Reputation,18283,4,1014,,3781,531,159
1748,5,59,Reputation,18283,12,1014,,3781,532,159
1749,6,59,Reputation,18283,44,1014,11149.0,3781,534,159
1750,3,59,Reputation,18283,14,1014,,3781,541,159
1751,6,59,Reputation,18283,31,1014,,3781,587,159
1752,0,59,Reputation,18283,9,1014,,3781,610,159
1753,0,59,Reputation,18283,15,1014,3833.0,3781,622,159
1754,2,59,Reputation,18283,4,1014,,3781,625,159
1755,6,59,Reputation,18283,74,1014,,3781,729,159
1756,5,59,Reputation,18283,146,1014,,3781,730,159
1757,4,59,Reputation,18283,16,1014,,3781,862,159
1758,0,59,Reputation,18283,6,1014,,3781,872,159
1759,0,59,Reputation,18283,3,1014,,3781,883,159
1760,6,59,Reputation,18283,24,1014,,3781,1026,159
1761,2,59,Reputation,18283,20,1014,,3781,1055,159
1762,2,59,Reputation,18283,6,1014,,3781,1086,159
1763,3,59,Reputation,18283,36,1014,,3781,1150,159
1764,8,59,Reputation,18283,29,1014,,3781,1153,159
1765,0,59,Reputation,18283,5,1014,,3781,1158,159
1766,0,59,Reputation,18283,4,1014,,3781,1161,159
1767,11,59,Reputation,18283,9,1014,,3781,1206,159
1768,6,59,Reputation,18283,17,1014,,3781,1214,159
1769,2,59,Reputation,18283,3,1014,,3781,1216,159
1770,3,59,Reputation,18283,5,1014,,3781,1277,159
1771,5,59,Reputation,18283,9,1014,,3781,1295,159
1772,0,59,Reputation,18283,36,1014,,3781,1382,159
1773,3,59,Reputation,18283,5,1014,,3781,1428,159
1774,0,59,Reputation,18283,11,1014,,3781,1442,159
1775,5,59,Reputation,18283,66,1014,28878.0,3781,1444,159
1776,2,59,Reputation,18283,4,1014,,3781,1472,159
1777,1,59,Reputation,18283,7,1014,,3781,1497,159
1778,2,59,Reputation,18283,6,1014,,3781,1570,159
1779,1,59,Reputation,18283,6,1014,,3781,1585,159
1780,0,59,Reputation,18283,27,1014,,3781,1630,159
1781,2,59,Reputation,18283,17,1014,,3781,1639,159
1782,1,59,Reputation,18283,8,1014,,3781,1647,159
1783,4,59,Reputation,18283,7,1014,,3781,1720,159
1784,1,59,Reputation,18283,1,1014,,3781,1774,159
1785,4,59,Reputation,18283,14,1014,,3781,1806,159
1786,0,59,Reputation,18283,2,1014,,3781,1938,159
1787,2,59,Reputation,18283,6,1014,,3781,2204,159
1788,3,59,Reputation,18283,1,1014,,3781,2292,159
1789,4,59,Reputation,18283,6,1014,,3781,2330,159
1790,12,59,Reputation,18283,7,1014,,3781,2367,159
1791,0,59,Reputation,18283,5,1014,,3781,2387,159
1792,0,59,Reputation,18283,18,1014,,3781,2724,159
1793,0,59,Reputation,18283,3,1014,,3781,2924,159
1794,2,59,Reputation,18283,9,1014,,3781,3002,159
1795,2,59,Reputation,18283,6,1014,,3781,3032,159
1796,0,59,Reputation,18283,9,1014,,3781,3128,159
1797,2,59,Reputation,18283,3,1014,,3781,3129,159
1798,0,59,Reputation,18283,20,1014,,3781,3184,159
1799,0,59,Reputation,18283,0,1014,,3781,3189,159
1800,0,59,Reputation,18283,0,1014,,3781,3190,159
1801,4,59,Reputation,18283,4,1014,,3781,3224,159
1802,2,59,Reputation,18283,5,1014,,3781,3255,159
1803,0,59,Reputation,18283,8,1014,,3781,3408,159
1804,1,59,Reputation,18283,25,1014,,3781,3543,159
1805,2,59,Reputation,18283,25,1014,,3781,3553,159
1806,1,59,Reputation,18283,5,1014,,3781,3581,159
1807,0,59,Reputation,18283,6,1014,,3781,3617,159
1808,4,59,Reputation,18283,32,1014,,3781,3733,159
1809,6,59,Reputation,18283,12,1014,366.0,3781,3752,159
1810,0,59,Reputation,18283,3,1014,,3781,3870,159
1811,0,59,Reputation,18283,6,1014,,3781,4096,159
1812,0,59,Reputation,18283,8,1014,,3781,4103,159
1813,6,59,Reputation,18283,6,1014,,3781,4149,159
1814,4,59,Reputation,18283,3,1014,,3781,4156,159
1815,2,59,Reputation,18283,4,1014,,3781,4372,159
1816,2,59,Reputation,18283,5,1014,,3781,4378,159
1817,6,59,Reputation,18283,3,1014,,3781,4415,159
1818,1,59,Reputation,18283,3,1014,,3781,4433,159
1819,4,59,Reputation,18283,9,1014,,3781,4490,159
1820,7,59,Reputation,18283,6,1014,,3781,4586,159
1821,0,59,Reputation,18283,16,1014,,3781,4716,159
1822,4,59,Reputation,18283,5,1014,,3781,5176,159
1823,2,59,Reputation,18283,4,1014,,3781,5177,159
1824,1,59,Reputation,18283,7,1014,,3781,5496,159
1825,2,59,Reputation,18283,3,1014,,3781,5497,159
1826,2,59,Reputation,18283,4,1014,,3781,5498,159
1827,2,59,Reputation,18283,8,1014,,3781,5830,159
1828,5,59,Reputation,18283,10,1014,,3781,6332,159
1829,1,59,Reputation,18283,13,1014,,3781,6333,159
1830,3,59,Reputation,18283,16,1014,,3781,6476,159
1831,1,59,Reputation,18283,12,1014,,3781,6500,159
1832,3,59,Reputation,18283,12,1014,,3781,6596,159
1833,3,59,Reputation,18283,7,1014,,3781,6973,159
1834,1,59,Reputation,18283,4,1014,,3781,7038,159
1835,1,59,Reputation,18283,13,1014,,3781,7828,159
1836,2,59,Reputation,18283,9,1014,,3781,8398,159
1837,4,59,Reputation,18283,2,1014,,3781,8474,159
1838,1,59,Reputation,18283,7,1014,,3781,8751,159
1839,0,59,Reputation,18283,3,1014,,3781,9078,159
1840,0,59,Reputation,18283,1,1014,,3781,9119,159
1841,6,59,Reputation,18283,15,1014,,3781,9144,159
1842,0,59,Reputation,18283,4,1014,,3781,9476,159
1843,0,59,Reputation,18283,3,1014,,3781,10968,159
1844,1,59,Reputation,18283,7,1014,,3781,11649,159
1845,0,59,Reputation,18283,4,1014,,3781,12737,159
1846,6,59,Reputation,18283,4,1014,,3781,13227,159
1847,0,59,Reputation,18283,4,1014,,3781,13228,159
1848,6,59,Reputation,18283,8,1014,226.0,3781,13530,159
1849,2,59,Reputation,18283,5,1014,,3781,13574,159
1850,0,59,Reputation,18283,5,1014,,3781,14252,159
1851,0,59,Reputation,18283,4,1014,,3781,14779,159
1852,3,59,Reputation,18283,6,1014,,3781,14780,159
1853,9,59,Reputation,18283,9,1014,,3781,14923,159
1854,2,59,Reputation,18283,2,1014,,3781,15492,159
1855,0,59,Reputation,18283,3,1014,,3781,16431,159
1856,1,59,Reputation,18283,2,1014,,3781,17089,159
1857,1,59,Reputation,18283,8,1014,,3781,17187,159
1858,0,59,Reputation,18283,1,1014,,3781,17406,159
