,Outlier,userId_x,userId_y,CommentCount,DownVotes,Reputation,Score,UpVotes,ViewCount,Views,postId
3,Reputation,5,23.0,3,5,6792,81,662,0,1145,5
4,Reputation,6,5.0,5,0,457,152,47,29229,114,6
5,Reputation,7,38.0,3,0,429,76,20,5808,56,7
6,Reputation,8,37.0,2,25,6764,0,604,288,1089,8
10,Reputation,13,23.0,4,1,817,14,44,0,178,13
13,Reputation,17,,0,1,345,9,13,1261,14,17
17,Reputation,22,66.0,1,6,591,102,693,21916,90,22
18,Reputation,23,69.0,1,1,308,10,34,7694,52,23
19,Reputation,24,61.0,0,1,344,17,36,0,48,24
20,Reputation,25,69.0,4,23,4968,7,328,2095,641,25
21,Reputation,26,75.0,14,7,3150,18,138,3476,257,26
23,Reputation,29,36.0,0,1,2250,5,28,0,318,29
24,Reputation,30,69.0,2,3,2185,7,40,705,312,30
28,Reputation,36,8.0,7,1,1570,41,26,67396,173,36
30,Reputation,39,59.0,0,0,1651,4,12,210,255,39
32,Reputation,41,83.0,0,0,611,8,12,0,83,41
38,Reputation,52,36.0,0,0,861,7,12,0,62,52
40,Reputation,54,55.0,5,2,360,11,21,497,18,54
41,Reputation,55,56.0,0,1,366,7,48,0,16,55
42,Reputation,56,,7,0,563,56,10,0,64,56
45,Reputation,59,39.0,1,0,402,24,51,0,82,59
47,Reputation,61,74.0,5,4,1956,22,39,0,147,61
48,Reputation,62,58.0,0,3,549,4,13,124,90,62
51,Reputation,66,41.0,0,0,614,5,12,0,102,66
53,Reputation,69,56.0,0,6,530,3,630,0,174,69
54,Reputation,71,36.0,0,1,1936,2,2317,0,328,71
55,Reputation,72,96.0,0,0,800,6,58,0,77,72
56,Reputation,74,88.0,0,65,2316,25,74,0,1126,74
57,Reputation,75,69.0,4,0,321,5,4,754,44,75
59,Reputation,77,74.0,7,0,260,16,36,0,8,77
63,Reputation,81,69.0,0,0,1307,7,86,0,80,81
64,Reputation,83,5.0,0,0,804,2,11,0,64,83
67,Reputation,89,55.0,0,4,1281,5,61,0,105,89
68,Reputation,90,22.0,0,0,561,3,27,0,287,90
72,Reputation,96,5.0,0,0,441,4,18,0,80,96
73,Reputation,98,39.0,0,1,291,10,141,0,24,98
75,Reputation,101,,6,0,502,40,109,0,49,101
77,Reputation,103,5.0,6,1,261,28,41,1990,34,103
81,Reputation,108,5.0,1,0,305,14,4,0,171,108
82,Reputation,110,61.0,2,1,443,3,9,0,59,110
86,Reputation,114,8.0,1,1,708,30,44,1220,61,114
90,Reputation,118,83.0,11,0,473,122,46,39118,60,118
96,Reputation,125,5.0,2,0,391,75,0,29261,31,125
108,Reputation,139,5.0,2,0,758,21,41,0,241,139
113,Reputation,144,22.0,0,1,1396,17,477,0,269,144
120,Reputation,154,108.0,3,0,321,20,6,0,23,154
123,Reputation,159,145.0,0,59,18283,8,1014,0,3781,159
127,Reputation,163,81.0,6,0,276,5,1,0,12,163
136,Reputation,172,74.0,1,0,564,10,15,0,113,172
137,Reputation,173,71.0,0,0,453,15,15,2519,39,173
138,Reputation,174,159.0,0,4,792,35,163,0,78,174
143,Reputation,179,159.0,0,10,1416,12,352,0,147,179
146,Reputation,183,166.0,1,45,22625,3,2496,753,4069,183
148,Reputation,187,119.0,0,0,446,3,6,0,69,187
151,Reputation,190,25.0,0,24,1166,7,482,0,146,190
152,Reputation,191,173.0,0,0,313,3,8,0,16,191
156,Reputation,196,87.0,2,114,6140,19,497,4090,649,196
158,Reputation,198,61.0,0,0,908,3,69,0,42,198
159,Reputation,199,5.0,0,3,1815,4,149,0,188,199
166,Reputation,210,183.0,3,1,337,9,32,0,47,210
167,Reputation,211,187.0,0,0,586,6,0,0,11,211
170,Reputation,214,40.0,0,0,266,4,29,0,31,214
171,Reputation,215,187.0,2,0,2496,1,5,0,384,215
173,Reputation,217,5.0,4,1,522,6,16,0,111,217
177,Reputation,221,159.0,2,0,615,15,95,0,77,221
179,Reputation,223,79.0,5,19,4022,5,345,291,1471,223
181,Reputation,226,173.0,2,0,1293,12,55,0,266,226
184,Reputation,229,159.0,2,0,629,10,65,0,64,229
185,Reputation,230,173.0,0,2,1233,5,170,0,106,230
189,Reputation,240,114.0,1,0,281,4,8,0,31,240
192,Reputation,247,171.0,1,3,898,2,82,0,104,247
195,Reputation,252,81.0,3,0,315,5,8,0,40,252
196,Reputation,253,215.0,0,5,5309,7,1160,0,1147,253
203,Reputation,260,217.0,1,0,526,12,2,0,24,260
204,Reputation,261,159.0,4,2,442,12,30,0,84,261
206,Reputation,264,217.0,0,55,4701,5,1408,0,839,264
207,Reputation,266,128.0,0,1,1272,3,108,0,335,266
211,Reputation,273,216.0,0,0,1384,1,17,0,87,273
216,Reputation,279,62.0,0,8,6176,9,578,0,374,279
223,Reputation,287,90.0,1,0,847,7,19,1068,73,287
231,Reputation,300,56.0,0,0,524,4,223,0,44,300
236,Reputation,307,229.0,3,3,4829,13,692,0,1088,307
241,Reputation,315,36.0,0,0,611,5,2,0,49,315
244,Reputation,319,71.0,2,0,1994,15,62,0,523,319
248,Reputation,327,3807.0,0,0,303,1,0,0,36,327
250,Reputation,333,74.0,3,4,1233,3,75,0,104,333
252,Reputation,339,218.0,6,0,3039,1,125,0,363,339
259,Reputation,352,8.0,1,2,793,1,236,0,99,352
269,Reputation,368,,2,0,369,2,5,0,18,368
274,Reputation,375,252.0,1,0,529,7,9,437,46,375
276,Reputation,378,68.0,0,0,316,11,2,0,6,378
283,Reputation,386,223.0,5,0,891,10,55,0,185,386
295,Reputation,401,256.0,0,6,6906,2,394,0,1070,401
306,Reputation,419,215.0,0,0,379,4,7,0,25,419
317,Reputation,438,215.0,1,1,2133,10,28,0,272,438
318,Reputation,439,30.0,1,1,2031,8,152,0,268,439
321,Reputation,442,36.0,0,21,6431,7,857,0,973,442
325,Reputation,447,215.0,0,0,1422,5,20,0,173,447
326,Reputation,449,215.0,0,57,12813,1,1607,0,1089,449
329,Reputation,455,13.0,1,0,378,27,26,0,24,455
345,Reputation,478,251.0,4,0,300,12,13,0,29,478
350,Reputation,485,183.0,3,11,2908,48,444,4470,265,485
356,Reputation,493,268.0,0,4,909,3,87,0,96,493
358,Reputation,495,214.0,1,4,2092,6,32,0,272,495
361,Reputation,501,88.0,7,0,300,3,9,0,20,501
367,Reputation,511,3807.0,0,4,1796,26,33,0,516,511
372,Reputation,520,190.0,5,0,268,2,9,0,42,520
373,Reputation,521,190.0,0,0,2133,7,65,0,205,521
375,Reputation,523,74.0,2,0,326,4,10,0,32,523
381,Reputation,530,159.0,0,0,599,8,2,0,77,530
383,Reputation,539,174.0,2,0,279,34,14,9369,31,539
389,Reputation,549,270.0,1,0,286,3,5,0,39,549
393,Reputation,557,215.0,4,0,1273,33,58,0,142,557
395,Reputation,559,88.0,0,0,485,5,9,0,44,559
397,Reputation,561,215.0,0,11,2002,12,155,0,186,561
403,Reputation,569,5.0,0,0,307,3,43,0,46,569
405,Reputation,573,190.0,3,0,365,10,260,1043,40,573
409,Reputation,582,108.0,1,23,2400,4,692,0,293,582
412,Reputation,588,61.0,4,0,1034,6,38,0,185,588
422,Reputation,603,30.0,5,49,10647,3,683,0,1225,603
426,Reputation,609,223.0,2,1,691,6,44,0,113,609
429,Reputation,614,107.0,6,0,305,22,7,2267,34,614
430,Reputation,615,88.0,3,49,379,2,163,0,51,615
440,Reputation,634,5.0,0,0,426,7,8,0,47,634
456,Reputation,656,25.0,1,7,2320,61,1273,0,203,656
457,Reputation,660,292.0,3,3,286,7,16,510,37,660
459,Reputation,667,88.0,2,0,406,6,11,0,56,667
471,Reputation,686,339.0,1,82,44152,8,2156,0,7357,686
476,Reputation,696,173.0,0,18,2282,1,136,0,182,696
480,Reputation,702,,2,2,424,2,34,0,37,702
482,Reputation,704,,1,0,577,0,51,0,64,704
512,Reputation,741,251.0,1,0,262,4,6,0,20,741
519,Reputation,749,339.0,2,0,292,11,6,0,35,749
534,Reputation,775,460.0,0,0,436,9,5,1423,24,775
535,Reputation,776,5.0,0,1,1895,2,225,0,312,776
537,Reputation,778,447.0,1,0,311,8,49,0,36,778
540,Reputation,781,22.0,0,1,566,3,9,0,78,781
548,Reputation,795,474.0,2,8,5606,-3,1547,728,967,795
556,Reputation,805,,0,143,65272,2,7035,551,5680,805
561,Reputation,812,223.0,1,2,628,6,215,942,98,812
571,Reputation,827,5.0,6,0,262,13,6,0,22,827
574,Reputation,830,447.0,2,0,830,3,148,0,174,830
582,Reputation,840,288.0,0,1,259,1,19,0,63,840
585,Reputation,845,8.0,4,0,597,5,22,0,46,845
587,Reputation,847,500.0,3,0,591,0,15,123,67,847
589,Reputation,851,8.0,0,1,1075,4,11,0,77,851
594,Reputation,858,485.0,2,24,2834,1,333,0,434,858
596,Reputation,862,159.0,4,0,531,16,2,0,90,862
601,Reputation,870,520.0,4,0,257,13,7,14181,13,870
604,Reputation,873,251.0,0,0,451,1,0,0,27,873
610,Reputation,881,34.0,0,2,1118,5,6,264,62,881
