"Id";"PostTypeId";"AcceptedAnswerId";"CreaionDate";"Score";"ViewCount";"Body";"OwnerUserId";"LasActivityDate";"Title";"Tags";"AnswerCount";"CommentCount";"FavoriteCount";"LastEditorUserId";"LastEditDate";"CommunityOwnedDate";"ParentId";"ClosedDate";"OwnerDisplayName";"LastEditorDisplayName"
1;1;15;"2010-07-19 19:12:12";23;1278;"<p>How should I elicit prior distributions from experts when fitting a Bayesian model?</p>
";8;"2010-09-15 21:08:26";"Eliciting priors from experts";"<bayesian><prior><elicitation>";5;1;14;0;"";"";0;"";"";""
2;1;59;"2010-07-19 19:12:57";22;8198;"<p>In many different statistical methods there is an ""assumption of normality"".  What is ""normality"" and how do I know if there is normality?</p>
";24;"2012-11-12 09:21:54";"What is normality?";"<distributions><normality>";7;1;8;88;"2010-08-07 17:56:44";"";0;"";"";""
3;1;5;"2010-07-19 19:13:28";54;3613;"<p>What are some valuable Statistical Analysis open source projects available right now?</p>

<p>Edit: as pointed out by Sharpie, valuable could mean helping you get things done faster or more cheaply.</p>
";18;"2013-05-27 14:48:36";"What are some valuable Statistical Analysis open source projects?";"<software><open-source>";19;4;36;183;"2011-02-12 05:50:03";"2010-07-19 19:13:28";0;"";"";""
4;1;135;"2010-07-19 19:13:31";13;5224;"<p>I have two groups of data.  Each with a different distribution of multiple variables.  I'm trying to determine if these two groups' distributions are different in a statistically significant way.  I have the data in both raw form and binned up in easier to deal with discrete categories with frequency counts in each.  </p>

<p>What tests/procedures/methods should I use to determine whether or not these two groups are significantly different and how do I do that in SAS or R (or Orange)?</p>
";23;"2010-09-08 03:00:19";"Assessing the significance of differences in distributions";"<distributions><statistical-significance>";5;2;2;0;"";"";0;"";"";""
5;2;0;"2010-07-19 19:14:43";81;0;"<p>The R-project</p>

<p><a href=""http://www.r-project.org/"">http://www.r-project.org/</a></p>

<p>R is valuable and significant because it was the first widely-accepted Open-Source alternative to big-box packages.  It's mature, well supported, and a standard within many scientific communities.</p>

<ul>
<li><a href=""http://www.inside-r.org/why-use-r"">Some reasons why it is useful and valuable</a> </li>
<li>There are some nice tutorials <a href=""http://gettinggeneticsdone.blogspot.com/search/label/ggplot2"">here</a>.</li>
</ul>
";23;"2010-07-19 19:21:15";"";"";0;3;0;23;"2010-07-19 19:21:15";"2010-07-19 19:14:43";3;"";"";""
6;1;0;"2010-07-19 19:14:44";152;29229;"<p>Last year, I read a blog post from <a href=""http://anyall.org/"">Brendan O'Connor</a> entitled <a href=""http://anyall.org/blog/2008/12/statistics-vs-machine-learning-fight/"">""Statistics vs. Machine Learning, fight!""</a> that discussed some of the differences between the two fields.  <a href=""http://andrewgelman.com/2008/12/machine_learnin/"">Andrew Gelman responded favorably to this</a>:</p>

<p>Simon Blomberg: </p>

<blockquote>
  <p>From R's fortunes
  package: To paraphrase provocatively,
  'machine learning is statistics minus
  any checking of models and
  assumptions'.
  -- Brian D. Ripley (about the difference between machine learning
  and statistics) useR! 2004, Vienna
  (May 2004) :-) Season's Greetings!</p>
</blockquote>

<p>Andrew Gelman:</p>

<blockquote>
  <p>In that case, maybe we should get rid
  of checking of models and assumptions
  more often. Then maybe we'd be able to
  solve some of the problems that the
  machine learning people can solve but
  we can't!</p>
</blockquote>

<p>There was also the <a href=""http://projecteuclid.org/euclid.ss/1009213726""><strong>""Statistical Modeling: The Two Cultures""</strong> paper</a> by Leo Breiman in 2001 which argued that statisticians rely too heavily on data modeling, and that machine learning techniques are making progress by instead relying on the <em>predictive accuracy</em> of models.</p>

<p>Has the statistics field changed over the last decade in response to these critiques?  Do the <em>two cultures</em> still exist or has statistics grown to embrace machine learning techniques such as neural networks and support vector machines?</p>
";5;"2014-05-29 03:54:31";"The Two Cultures: statistics vs. machine learning?";"<machine-learning>";15;5;137;22047;"2013-06-07 06:38:10";"2010-08-09 13:05:50";0;"";"";""
7;1;18;"2010-07-19 19:15:59";76;5808;"<p>I've been working on a new method for analyzing and parsing datasets to identify and isolate subgroups of a population without foreknowledge of any subgroup's characteristics.  While the method works well enough with artificial data samples (i.e. datasets created specifically for the purpose of identifying and segregating subsets of the population), I'd like to try testing it with live data.</p>

<p>What I'm looking for is a freely available (i.e. non-confidential, non-proprietary) data source.  Preferably one containing bimodal or multimodal distributions or being obviously comprised of multiple subsets that cannot be easily pulled apart via traditional means.  Where would I go to find such information?</p>
";38;"2013-12-28 06:53:10";"Locating freely available data samples";"<dataset><sample><population><teaching>";24;3;79;253;"2013-09-26 21:50:36";"2010-07-20 20:50:48";0;"";"";""
8;1;0;"2010-07-19 19:16:21";0;288;"<p>Sorry, but the emptyness was a bit overwhelming. And this has been stuck in my head since it got asked at Area51!</p>
";37;"2010-10-18 07:57:31";"So how many staticians *does* it take to screw in a lightbulb?";"<humor>";1;2;0;449;"2010-10-18 07:57:31";"";0;"2010-07-19 20:19:46";"";""
9;2;0;"2010-07-19 19:16:27";13;0;"<p><a href=""http://incanter.org/"">Incanter</a> is a Clojure-based, R-like platform (environment + libraries) for statistical computing and graphics. </p>
";50;"2010-07-19 19:16:27";"";"";0;3;0;0;"";"2010-07-19 19:16:27";3;"";"";""
10;1;1887;"2010-07-19 19:17:47";23;21925;"<p>Many studies in the social sciences use Likert scales.  When is it appropriate to use Likert data as ordinal and when is it appropriate to use it as interval data?</p>
";24;"2012-10-23 17:33:41";"Under what conditions should Likert scales be used as ordinal or interval data?";"<scales><measurement><ordinal><interval><likert>";4;4;12;919;"2011-03-30 15:31:46";"";0;"";"";""
