,Year,Date,Type,Injury,Fatal (Y/N)
0,2016,18-Sep-16,Unprovoked,Minor injury to thigh,N
1,2016,18-Sep-16,Unprovoked,Lacerations to hands,N
2,2016,18-Sep-16,Unprovoked,Lacerations to lower leg,N
3,2016,17-Sep-16,Unprovoked,Struck by fin on chest & leg,N
4,2016,16-Sep-16,Unprovoked,No injury: Knocked off board by shark,N
5,2016,15-Sep-16,Boat,Shark rammed boat. No injury to occupant,N
6,2016,11-Sep-16,Unprovoked,Minor injury to arm,N
7,2016,07-Sep-16,Unprovoked,Severe lacerations to shoulder & forearm,N
8,2016,06-Sep-16,Unprovoked,FATAL,Y
9,2016,05-Sep-16,Unprovoked,Lacerations & punctures to lower right leg,N
10,2016,05-Sep-16,Unprovoked,"No inury, board broken in half by shark",N
11,2016,04-Sep-16,Unprovoked,Foot bitten,N
12,2016,01-Sep-16,Unprovoked,Two toes broken & lacerated,N
13,2016,29-Aug-16,Unprovoked,Lacerations to right foot,N
14,2016,29-Aug-16,Unprovoked,Minor injury to ankle,N
15,2016,27-Aug-16,Unprovoked,"Right arm severed, ankle severely bitten ",N
16,2016,25-Aug-16,Unprovoked,Minor injury to ankle,N
17,2016,07-Aug-16,Unprovoked,Lacerations to left leg,N
18,2016,06-Aug-16,Unprovoked,"No inury, shark & board collided",N
19,2016,04-Aug-16,Unprovoked,Big toe bitten,N
20,2016,29-Jul-16,Unprovoked,Lacerations to right hand,N
21,2016,28-Jul-16,Unprovoked,Lacerations to leg,N
22,2016,28-Jul-16,Boat,"No injury, shark nudged kayak repeatedly",N
23,2016,27-Jul-16,Provoked,Laceration to left forearm PROVOKED INCIDENT,N
24,2016,26-Jul-16,Unprovoked,"No injury. Leg rope severed, knocked off board by shark",N
25,2016,24-Jul-16,Unprovoked,Lacerations to left leg,N
26,2016,23-Jul-16,Unprovoked,Calf bumped but no injury,N
27,2016,23-Jul-16,Unprovoked,Lacerations to face and right leg,N
28,2016,20-Jul-16,Provoked,Laceration to left calf from hooked shark PROVOKED INCIDENT,N
29,2016,17-Jul-16,Boat,"No injury, shark bit trolling motor",N
30,2016,16-Jul-16,Unprovoked,Minor injury to leg,N
31,2016,16-Jul-16,Unprovoked,Minor injury to toes,N
32,2016,15-Jul-16,Unprovoked,Puncture wounds to foot,N
33,2016,Reported  14-Jul-2016,Unprovoked,Face bruised when partly blind shark collided with him,N
34,2016,Reported 08-Jul-2016,Unprovoked,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
35,2016,08-Jul-16,Boat,"No injury. Hull bitten, tooth fragment recovered",N
36,2016,07-Jul-16,Provoked,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
37,2016,07-Jul-16,Boat,"No injury. Hull bitten, tooth fragment recovered",N
38,2016,06-Jul-16,Unprovoked,"Buttocks, thigh, left hand & wrist injured",N
39,2016,04-Jul-16,Provoked,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
40,2016,27-Jun-16,Unprovoked,Minor injury,N
41,2016,25-Jun-16,Unprovoked,Foot injured,N
42,2016,24-Jun-16,Unprovoked,Severe bite to right hand,N
43,2016,23-Jun-16,Unprovoked,Injuries to left leg & right hand,N
44,2016,21-Jun-16,Unprovoked,Lacerations and punctures to foot,N
45,2016,21-Jun-16,Unprovoked,Injuries to right calf,N
46,2016,15-Jun-16,Unprovoked,Single puncture wound to arm,N
47,2016,15-Jun-16,Provoked,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
48,2016,14-Jun-16,Unprovoked,Injury to lower leg,N
49,2016,11-Jun-16,Unprovoked,Laceration to wrist,N
50,2016,07-Jun-16,Invalid,"No injury, board damaged",N
51,2016,05-Jun-16,Unprovoked,Leg bitten,N
52,2016,05-Jun-16,Unprovoked,FATAL,Y
53,2016,04-Jun-16,Unprovoked,"Leg severely bitten, surgically amputated",N
54,2016,02-Jun-16,Unprovoked,"No injury, but sharks repeatedly hit their fins and guns",
55,2016,02-Jun-16,Unprovoked,Laceration to heel,N
56,2016,31-May-16,Unprovoked,FATAL,Y
57,2016,29-May-16,Unprovoked,Injuries to arm and shoulder,N
58,2016,29-May-16,Unprovoked,Injury to posterior right leg,N
59,2016,22-May-16,Unprovoked,Puncture wounds to thigh,N
60,2016,21-May-16,Unprovoked,Lacerations and puncture wounds to foot and ankle,N
61,2016,21-May-16,Unprovoked,"Back, arm & hand injured",N
62,2016,18-May-16,Unprovoked,Ankle bitten,N
63,2016,15-May-16,Provoked,Arm grabbed PROVOKED INCIDENT,N
64,2016,03-May-16,Unprovoked,Minor lacerations to right shoulder,N
65,2016,02-May-16,Provoked,Foot bitten by landed shark PROVOKED INCIDENT,N
66,2016,25-Apr-16,Unprovoked,Elbow bitten,N
67,2016,23-Apr-16,Unprovoked,Minor injury to left foot,N
68,2016,22-Apr-16,Unprovoked,"No injury, surf-ski bitten",N
69,2016,19-Apr-16,Unprovoked,Minor puncture wound to foot,N
70,2016,18-Apr-16,Provoked,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N
71,2016,13-Apr-16,Unprovoked,Multiple bites to right arm,N
72,2016,09-Apr-16,Unprovoked,FATAL,Y
73,2016,08-Apr-16,Invalid,"""Serious""",N
74,2016,07-Apr-16,Unprovoked,Left hand bitten,N
75,2016,07-Apr-16,Invalid,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N
76,2016,31-Mar-16,Unprovoked,Minor injury to left foot,N
77,2016,30-Mar-16,Unprovoked,Severe injury to thigh,N
78,2016,28-Mar-16,Unprovoked,Minor injury to arm. Possibly caused by smalll nurse shark,N
79,2016,28-Mar-16,Unprovoked,"No injury, board dented",N
80,2016,26-Mar-16,Provoked,Minor injury to chest PROVOKED INCIDENT,N
81,2016,13-Mar-16,Invalid,Board reportedly bumped by shark. No injury,N
82,2016,11-Mar-16,Unprovoked,Lacerations to right foot and ankle,N
83,2016,10-Mar-16,Unprovoked,FATAL,Y
84,2016,04-Mar-16,Unprovoked,Superficial injury to foot,N
85,2016,Reported 03-Mar-2016,Unprovoked,Puncture wounds to right calf,N
86,2016,02-Mar-16,Unprovoked,Minor injury to head,N
87,2016,22-Feb-16,Unprovoked,Puncture wounds to right thigh,N
88,2016, 19-Feb-2016,Unprovoked,Forearm bitten,N
89,2016,12-Feb-16,Unprovoked,Avulsion injury to lower leg,N
90,2016,Reported 10-Feb-2016,Invalid,Minor injury to wrist from Southern stingray,N
91,2016,10-Feb-16,Invalid,"No injury, knocked off board",N
92,2016,05-Feb-16,Unprovoked,Foot nipped,N
93,2016,04-Feb-16,Unprovoked,"No injury, shark bit board",N
94,2016,29-Jan-16,Boat,"No injury, shark capsized kayak",N
95,2016,28-Jan-16,Unprovoked,Lacerations to both hands,N
96,2016,25-Jan-16,Unprovoked,No injury,N
97,2016,24-Jan-16,Unprovoked,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
98,2016,24-Jan-16,Boat,"No injury to occupants, shark leapt into boat",N
99,2016,23-Jan-16,Unprovoked,No injury,N
100,2016,Reported 11-Jan-2016,Unprovoked,Laceration to right foot,N
101,2016,05-Jan-16,Unprovoked,Laceration to right calf,N
102,2016,02-Jan-16,Unprovoked,Lacerations to arms & leg,N
103,2015,26-Dec-15,Boat,"No injury, kayak damaged",N
104,2015,25-Dec-15,Unprovoked,Lacerations to left forearm,N
105,2015,22-Dec-15,Unprovoked,"No injury, shark bit board",N
106,2015,21-Dec-15,Unprovoked,"No injury, shark leapt on surfboard",N
107,2015,21-Dec-15,Unprovoked,Right hand & part of forearm removed,N
108,2015,19-Dec-15,Unprovoked,FATAL,Y
109,2015,13-Dec-15,Boat,"No injury, shark rammed boat & bit motor",N
110,2015,11-Dec-15,Unprovoked,"Bitten on thigh, abdomen & hand",N
111,2015,08-Dec-15,Unprovoked,Lacerations to both hands and forearms,N
112,2015,16-Nov-15,Unprovoked,Right heel injured,N
113,2015,15-Nov-15,Unprovoked,Leg injured,N
114,2015,15-Nov-15,Unprovoked,Lacerations to hand,N
115,2015,10-Nov-15,Unprovoked,Injury to left thigh,N
116,2015,07-Nov-15,Invalid,Lower left leg injured,N
117,2015,03-Nov-15,Unprovoked,Laceration to right ankle,N
118,2015,01-Nov-15,Unprovoked,Injury to right ankle/calf & hand,N
119,2015,01-Nov-15,Unprovoked,"Arms severely injured, surgically amputated",N
120,2015,30-Oct-15,Unprovoked,Minor injury,N
121,2015,28-Oct-15,Unprovoked,"Lacerations & puncture wounds to right thigh, calf & ankle",N
122,2015,25-Oct-15,Unprovoked,"Lacerations to right calf, knee & hip",N
123,2015,21-Oct-15,Unprovoked,Lacerations to left hand,N
124,2015,19-Oct-15,Unprovoked,Left foot bitten,N
125,2015,17-Oct-15,Unprovoked,FATAL,Y
126,2015,17-Oct-15,Invalid,Left foot bitten by eel,N
