,Case Number,Year,Type,Country,Activity,Sex,Fatal
0,2016.09.18.c,2016,Unprovoked,USA,Surfing,M,N
1,2016.09.18.b,2016,Unprovoked,USA,Surfing,M,N
2,2016.09.18.a,2016,Unprovoked,USA,Surfing,M,N
3,2016.09.17,2016,Unprovoked,AUSTRALIA,Surfing,M,N
4,2016.09.15,2016,Unprovoked,AUSTRALIA,Surfing,M,N
5,2016.09.15.R,2016,Boat,AUSTRALIA,Fishing,,N
6,2016.09.11,2016,Unprovoked,USA,Other,M,N
7,2016.09.07,2016,Unprovoked,USA,Swimming,F,N
8,2016.09.06,2016,Unprovoked,NEW CALEDONIA,Surfing,M,Y
9,2016.09.05.b,2016,Unprovoked,USA,Surfing,F,N
10,2016.09.05.a,2016,Unprovoked,AUSTRALIA,Surfing,M,N
11,2016.09.04,2016,Unprovoked,USA,Surfing,M,N
12,2016.09.01,2016,Unprovoked,USA,Fishing,M,N
13,2016.08.29.b,2016,Unprovoked,USA,Surfing,M,N
14,2016.08.29.a,2016,Unprovoked,USA,Surfing,M,N
15,2016.08.27,2016,Unprovoked,REUNION,Surfing,M,N
16,2016.08.25,2016,Unprovoked,USA,Other,M,N
17,2016.08.07,2016,Unprovoked,BAHAMAS,Snorkeling,M,N
18,2016.08.06,2016,Unprovoked,USA,Surfing,M,N
19,2016.08.04,2016,Unprovoked,USA,Surfing,M,N
20,2016.07.29,2016,Unprovoked,SPAIN,Swimming,M,N
22,2016.07.28,2016,Boat,AUSTRALIA,Rowing,M,N
23,2016.07.27,2016,Provoked,USA,Other,M,N
24,2016.07.26,2016,Unprovoked,AUSTRALIA,Surfing,M,N
25,2016.07.24,2016,Unprovoked,JAPAN,Surfing,M,N
26,2016.07.23.b,2016,Unprovoked,AUSTRALIA,Surfing,M,N
27,2016.07.23.a,2016,Unprovoked,BAHAMAS,Fishing,M,N
28,2016.07.20,2016,Provoked,AUSTRALIA,Fishing,M,N
29,2016.07.17,2016,Boat,USA,Fishing,,N
30,2016.07.16.b,2016,Unprovoked,USA,Surfing,F,N
31,2016.07.16.a,2016,Unprovoked,USA,Other,F,N
32,2016.07.15,2016,Unprovoked,USA,Swimming,M,N
33,2016.07.14.4,2016,Unprovoked,BAHAMAS,Diving,M,N
34,2016.07.08.R,2016,Unprovoked,SPAIN,Other,F,N
35,2016.07.08,2016,Boat,USA,Fishing,M,N
36,2016.07.07.b,2016,Provoked,USA,Fishing,M,N
37,2016.07.07.a,2016,Boat,USA,Fishing,M,N
38,2016.07.06,2016,Unprovoked,USA,Swimming,F,N
39,2016.07.04,2016,Provoked,AUSTRALIA,Fishing,M,N
40,2016.06.27,2016,Unprovoked,USA,Other,M,N
41,2016.06.25,2016,Unprovoked,USA,Surfing,M,N
43,2016.06.23,2016,Unprovoked,SOUTH AFRICA,Fishing,M,N
44,2016.06.21.b,2016,Unprovoked,USA,Other,M,N
45,2016.06.21.a,2016,Unprovoked,USA,Other,M,N
46,2016.06.15.b,2016,Unprovoked,USA,Surfing,M,N
47,2016.06.15.a,2016,Provoked,AUSTRALIA,Fishing,M,N
48,2016.06.14,2016,Unprovoked,USA,Other,F,N
49,2016.06.11,2016,Unprovoked,USA,Other,M,N
51,2016.06.05.b,2016,Unprovoked,USA,Swimming,M,N
52,2016.06.05.a,2016,Unprovoked,AUSTRALIA,Diving,F,Y
53,2016.06.04,2016,Unprovoked,EGYPT,Swimming,M,N
54,2016.06.02.b,2016,Unprovoked,AUSTRALIA,Fishing,M,N
55,2016.06.02.a,2016,Unprovoked,NEW CALEDONIA,Surfing,M,N
56,2016.05.31,2016,Unprovoked,AUSTRALIA,Surfing,M,Y
57,2016.05.29.b,2016,Unprovoked,USA,Swimming,F,N
58,2016.05.29.a,2016,Unprovoked,USA,Swimming,M,N
59,2016.05.22,2016,Unprovoked,USA,Swimming,F,N
60,2016.05.21.b,2016,Unprovoked,USA,Swimming,F,N
61,2016.05.21.a,2016,Unprovoked,USA,Swimming,F,N
62,2016.05.18,2016,Unprovoked,USA,Swimming,M,N
63,2016.05.15,2016,Provoked,USA,Other,F,N
64,2016.05.03,2016,Unprovoked,USA,Other,M,N
65,2016.05.02,2016,Provoked,NEW ZEALAND,Fishing,M,N
67,2016.04.23,2016,Unprovoked,USA,Surfing,M,N
68,2016.04.22,2016,Unprovoked,SOUTH AFRICA,Surfing,M,N
69,2016.04.19,2016,Unprovoked,AUSTRALIA,Swimming,M,N
