,case_number,country,area,sex,age,time,month,decade
0,2016.09.18.c,USA,Florida,M,16,afternoon,09,2010
1,2016.09.18.b,USA,Florida,M,36,morning,09,2010
2,2016.09.18.a,USA,Florida,M,43,morning,09,2010
3,2016.09.17,Australia,Victoria,M,27,unknown,09,2010
4,2016.09.15,Australia,Victoria,M,27,unknown,09,2010
6,2016.09.11,USA,Florida,M,60,afternoon,09,2010
7,2016.09.07,USA,Hawaii,F,51,afternoon,09,2010
8,2016.09.06,New Caledonia,North Province,M,50,afternoon,09,2010
9,2016.09.05.b,USA,South Carolina,F,12,afternoon,09,2010
10,2016.09.05.a,Australia,Western Australia,M,27,afternoon,09,2010
11,2016.09.04,USA,Florida,M,9,unknown,09,2010
12,2016.09.01,USA,California,M,22,unknown,09,2010
13,2016.08.29.b,USA,Florida,M,25,afternoon,08,2010
14,2016.08.29.a,USA,Florida,M,37,afternoon,08,2010
16,2016.08.25,USA,Florida,M,49,afternoon,08,2010
17,2016.08.07,Bahamas,New Providence Island,M,15,unknown,08,2010
18,2016.08.06,USA,Hawaii,M,21,unknown,08,2010
19,2016.08.04,USA,Florida,M,22,unknown,08,2010
20,2016.07.29,Spain,Alicante Province,M,40,morning,07,2010
21,2016.07.28.R,China,Hong Kong,M,72,unknown,07,2010
22,2016.07.28,Australia,Western Australia,M,27,unknown,07,2010
23,2016.07.27,USA,Florida,M,43,unknown,07,2010
24,2016.07.26,Australia,New South Wales,M,18,afternoon,07,2010
25,2016.07.24,Japan,Kochi Prefecture,M,29,evening,07,2010
26,2016.07.23.b,Australia,Tasmania,M,36,unknown,07,2010
27,2016.07.23.a,Bahamas,Abaco Islands,M,27,unknown,07,2010
28,2016.07.20,Australia,Queensland,M,31,afternoon,07,2010
30,2016.07.16.b,USA,Florida,F,9,afternoon,07,2010
31,2016.07.16.a,USA,Florida,F,11,morning,07,2010
32,2016.07.15,USA,South Carolina,M,27,unknown,07,2010
34,2016.07.08.R,Spain,Canary Islands,F,10,unknown,07,2010
35,2016.07.08,USA,California,M,27,unknown,07,2010
36,2016.07.07.b,USA,Massachusetts,M,59,morning,07,2010
37,2016.07.07.a,USA,California,M,27,unknown,07,2010
38,2016.07.06,USA,Florida,F,42,afternoon,07,2010
39,2016.07.04,Australia,Queensland,M,34,evening,07,2010
40,2016.06.27,USA,South Carolina,M,35,afternoon,06,2010
41,2016.06.25,USA,North Carolina,M,11,afternoon,06,2010
