,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
0,2016.09.18.c,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to thigh,N,"Orlando Sentinel, 9/19/2016",sep
1,2016.09.18.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to hands,N,"Orlando Sentinel, 9/19/2016",sep
2,2016.09.18.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to lower leg,N,"Orlando Sentinel, 9/19/2016",sep
3,2016.09.17,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,Struck by fin on chest & leg,N,"The Age, 9/18/2016",sep
4,2016.09.15,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,No injury: Knocked off board by shark,N,"The Age, 9/16/2016",sep
5,2016.09.15.R,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,,Shark rammed boat. No injury to occupant,N,"West Australian, 9/15/2016",sep
6,2016.09.11,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,Minor injury to arm,N,"News4Jax, 9/11/2016",sep
7,2016.09.07,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,Severe lacerations to shoulder & forearm,N,"Hawaii News Now, 9/7/2016",sep
8,2016.09.06,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,FATAL,Y,"TVANouvelles, 9/6/2016",sep
9,2016.09.05.b,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,Lacerations & punctures to lower right leg,N,"C. Creswell, GSAF",sep
10,2016.09.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,"No inury, board broken in half by shark",N,"Perth Now, 9/5/2016",sep
11,2016.09.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,Foot bitten,N,"Orlando Sentinel, 9/7/2016",sep
12,2016.09.01,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,Two toes broken & lacerated,N,"R. Collier, GSAF",sep
13,2016.08.29.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Lacerations to right foot,N,"News Channel 8, 8/30/16",aug
14,2016.08.29.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Minor injury to ankle,N,"News Channel 8, 8/30/16",aug
15,2016.08.27,2016,Unprovoked,REUNION,,Boucan Canot,Surfing,M,"Right arm severed, ankle severely bitten ",N,"LaDepeche, 8/29/2016",aug
16,2016.08.25,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,Minor injury to ankle,N,"First Coast News, 7/25/2016",aug
17,2016.08.07,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,Lacerations to left leg,N,"ABC, 8/11/2016",aug
18,2016.08.06,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,"No inury, shark & board collided",N,"SUP, 8/9/2015",aug
19,2016.08.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Big toe bitten,N,"News 965, 8/5/2016",aug
20,2016.07.29,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,Lacerations to right hand,N,"Informacion.es, 7/29/2016",jul
21,2016.07.28.R,2016,Unprovoked,CHINA,Hong Kong,,Swimming,M,Lacerations to leg,N,"Klassick, 7/28/2016",jul
22,2016.07.28,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,"ABC Australia, 7/28/2016",jul
23,2016.07.27,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,"Tampa Bay Times, 7/27/2016",jul
24,2016.07.26,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,"Gold Coast Bulletin, 7/28/2016",jul
25,2016.07.24,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,M,Lacerations to left leg,N,"Japan Times, 7/25/2016",jul
26,2016.07.23.b,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,M,Calf bumped but no injury,N,"C. Black, GSAF",jul
27,2016.07.23.a,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,M,Lacerations to face and right leg,N,"KWTX, 7/23/2016",jul
28,2016.07.20,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"Nine News, 7/20/2016",jul
29,2016.07.17,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,,"No injury, shark bit trolling motor",N,"Al.com, 7/19/2016",jul
30,2016.07.16.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,Minor injury to leg,N,"Orlando Sentinel, 7/21/2016",jul
31,2016.07.16.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",,F,Minor injury to toes,N,"Orlando Sentinel, 7/21/2016",jul
32,2016.07.15,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,M,Puncture wounds to foot,N,"C. Creswell, GSAF",jul
33,2016.07.14.4,2016,Unprovoked,BAHAMAS,,Tiger Beach,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,"GrindTV, 7/14/2016",jul
34,2016.07.08.R,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,La Opinion de Tenerife,jul
35,2016.07.08,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",jul
36,2016.07.07.b,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,Salem News 7/8/2016,jul
37,2016.07.07.a,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,"R. Collier, GSAF",jul
38,2016.07.06,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,"Florida Today, 7/6/2016",jul
39,2016.07.04,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,"Cairns Post, 7/9/2016",jul
40,2016.06.27,2016,Unprovoked,USA,South Carolina,Sullivan's Island,,M,Minor injury,N,"C. Creswell, GSAF",jun
41,2016.06.25,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,M,Foot injured,N,"C. Creswell, GSAF",jun
42,2016.06.24,2016,Unprovoked,COLUMBIA,Isla Provedencia,,Scuba Diving,M,Severe bite to right hand,N,Dr. A. Velez,jun
