,Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Source,Month
4312,1948.09.17.R,1848,Unprovoked,TURKEY,Adana Province,Yumurtalik,Swimming,M,FATAL,Y,"C. Moore, GSAF",sep
4827,1929.12.21,1929,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,Recovered at Thursday Island Hospital,N,L. Schultz & M. Malin ref. SAF Case #510,dec
4828,1929.12.16,1929,Unprovoked,AUSTRALIA,New South Wales,Collaroy,Bathing or body surfing ,F,Superficial lacerations on right leg,N,"V.M. Coppleson.N10. (1933); V.M. Coppleson (1958), pp.112 & 232.  Note: In 1933 Coppleson gives the date of 16-Jan-1929 but revised it to 16-Dec-1929 in later works",dec
4829,1929.12.13,1929,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Injuries to chest & arm,N,"J. Green, p.32; V.M. Coppleson (1958), p.242",dec
4830,1929.12.03.R,1929,Unprovoked,AUSTRALIA,Queensland,Townsville,,M,FATAL,Y,"Brisbane Courier, 12/3/1929",dec
4831,1929.11.29,1929,Sea Disaster,KIRIBATI,Phoenix Islands,Nikumaroro Island,"Sea Disaster, wreck of the  SS Norwich City",,"11 of her crew perished, most, possibly all, deaths were due to drowning",Y,"Hartford Courant, 2/15/1930",nov
4832,1929.11.21,1929,Unprovoked,CUBA,Cienfuegos Province,Cienfuegos,Fishing,M,"Shark attacked his boat, threatening to capsize it. He jumped overboard & shark bit his arm. He knifed & killed shark. Later his arm was surgically amputated",N,"New York Times, 11/28/1929",nov
4833,1929.10.20,1929,Unprovoked,AUSTRALIA,Torres Strait,Near Badu Island,Pearl diving,M,Heel injured,N,"V.M. Coppleson (1958), p.242",oct
4834,1929.10.02,1929,Unprovoked,SPAIN,Valencia,Nasareth Beach,Fishing ,M,Arm injured when sharks rammed his boat,N,C. Moore,oct
4835,1929.09.01,1929,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",Fell from wharf into water & attacked immediately,M,"FATAL, severe injuries to both legs ",Y,"V.M. Coppleson.Q7. (1933); V.M. Coppleson (1958), pp.90 & 237; A. Sharpe, p.96",sep
4836,1929.08.05,1929,Unprovoked,USA,South Carolina,Fort Moultrie,Bathing,M,Left foot & ankle bitten,N,"Clay Creswell, GSAF",aug
4837,1929.07.29,1929,Unprovoked,MEXICO,Tamaulipas,Tampico,Swimming,M,Right leg severed below knee,N,"V.M. Coppleson (1958), p.262",jul
4838,1929.07.17.R,1929,Invalid,CAPE VERDE,Santiago Island,Tarrafal,,F,Body of woman recovered from shark,Y,"C. Moore; Heraldo de Madrid, 7/17/1929",jul
4839,1929.06.23,1929,Provoked,USA,Florida,"Fort Pierce, St Lucie County",Fishing,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,"Miami News, 6/25/1929",jun
4840,1929.05.31,1929,Unprovoked,AUSTRALIA,Torres Strait,,Pearl diving,M,"Injuries to both legs, buttocks, back, lower abdomen & chest",N,"V.M. Coppleson (1958), p.242",may
