,Date,Year,Type,Country,Area,Location,Activity,Age,Injury,Fatal (Y/N),Female,Male
0,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,16,Minor injury to thigh,N,0,1
1,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,36,Lacerations to hands,N,0,1
2,18-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,43,Lacerations to lower leg,N,0,1
3,17-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,0,Struck by fin on chest & leg,N,0,1
4,16-Sep-16,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,0,No injury: Knocked off board by shark,N,0,1
5,15-Sep-16,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,0,Shark rammed boat. No injury to occupant,N,0,0
6,11-Sep-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,0,Minor injury to arm,N,0,1
7,07-Sep-16,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,51,Severe lacerations to shoulder & forearm,N,1,0
8,06-Sep-16,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,50,FATAL,Y,0,1
9,05-Sep-16,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,12,Lacerations & punctures to lower right leg,N,1,0
10,05-Sep-16,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,0,"No inury, board broken in half by shark",N,0,1
11,04-Sep-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,9,Foot bitten,N,0,1
12,01-Sep-16,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,22,Two toes broken & lacerated,N,0,1
13,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,25,Lacerations to right foot,N,0,1
14,29-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,37,Minor injury to ankle,N,0,1
15,27-Aug-16,2016,Unprovoked,REUNION,NO DATA,Boucan Canot,Surfing,20,"Right arm severed, ankle severely bitten ",N,0,1
16,25-Aug-16,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,49,Minor injury to ankle,N,0,1
17,07-Aug-16,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,15,Lacerations to left leg,N,0,1
18,06-Aug-16,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,21,"No inury, shark & board collided",N,0,1
19,04-Aug-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,22,Big toe bitten,N,0,1
20,29-Jul-16,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,40,Lacerations to right hand,N,0,1
21,28-Jul-16,2016,Unprovoked,CHINA,Hong Kong,NO DATA,Swimming,72,Lacerations to leg,N,0,1
22,28-Jul-16,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,0,"No injury, shark nudged kayak repeatedly",N,0,1
23,27-Jul-16,2016,Provoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,43,Laceration to left forearm PROVOKED INCIDENT,N,0,1
24,26-Jul-16,2016,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,18,"No injury. Leg rope severed, knocked off board by shark",N,0,1
25,24-Jul-16,2016,Unprovoked,JAPAN,Kochi Prefecture,Irino Beach,Surfing,29,Lacerations to left leg,N,0,1
26,23-Jul-16,2016,Unprovoked,AUSTRALIA,Tasmania,Clifton Beach,Surfing,36,Calf bumped but no injury,N,0,1
27,23-Jul-16,2016,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Spearfishing,0,Lacerations to face and right leg,N,0,1
28,20-Jul-16,2016,Provoked,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,0,1
29,17-Jul-16,2016,Boat,USA,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,0,"No injury, shark bit trolling motor",N,0,0
30,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,9,Minor injury to leg,N,1,0
31,16-Jul-16,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",NO DATA,11,Minor injury to toes,N,1,0
32,15-Jul-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Swimming,0,Puncture wounds to foot,N,0,1
33,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,NO DATA,Tiger Beach,Scuba Diving,0,Face bruised when partly blind shark collided with him,N,0,1
34,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,1,0
35,08-Jul-16,2016,Boat,USA,California,"Capitola, Santa Cruz County",Fishing for squid,0,"No injury. Hull bitten, tooth fragment recovered",N,0,1
36,07-Jul-16,2016,Provoked,USA,Massachusetts,"Off Gloucester, Essec County",Fishing,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,0,1
37,07-Jul-16,2016,Boat,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,0,"No injury. Hull bitten, tooth fragment recovered",N,0,1
38,06-Jul-16,2016,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,42,"Buttocks, thigh, left hand & wrist injured",N,1,0
39,04-Jul-16,2016,Provoked,AUSTRALIA,Queensland,Palm Cove ,Fishing,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,0,1
40,27-Jun-16,2016,Unprovoked,USA,South Carolina,Sullivan's Island,NO DATA,35,Minor injury,N,0,1
41,25-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,11,Foot injured,N,0,1
42,24-Jun-16,2016,Unprovoked,COLUMBIA,Isla Provedencia,NO DATA,Scuba Diving,59,Severe bite to right hand,N,0,1
43,23-Jun-16,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Ryspunt,Spearfishing,43,Injuries to left leg & right hand,N,0,1
44,21-Jun-16,2016,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Floating,42,Lacerations and punctures to foot,N,0,1
45,21-Jun-16,2016,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,0,Injuries to right calf,N,0,1
46,15-Jun-16,2016,Unprovoked,USA,Hawaii,"Kalapaki Beach, Kauai",Surfing,0,Single puncture wound to arm,N,0,1
47,15-Jun-16,2016,Provoked,AUSTRALIA,Western Australia,Coral Bay,Spearfishing,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,0,1
48,14-Jun-16,2016,Unprovoked,USA,Texas,"Pirates Beach, Galveston",Floating in tube,6,Injury to lower leg,N,1,0
49,11-Jun-16,2016,Unprovoked,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,19,Laceration to wrist,N,0,1
50,07-Jun-16,2016,Invalid,USA,South Carolina,"Folly Beach, Charleston County",Surfing,27,"No injury, board damaged",N,0,1
51,05-Jun-16,2016,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Swimming,64,Leg bitten,N,0,1
52,05-Jun-16,2016,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,60,FATAL,Y,1,0
53,04-Jun-16,2016,Unprovoked,EGYPT,Suez,Ain Sokhna,Swimming,23,"Leg severely bitten, surgically amputated",N,0,1
54,02-Jun-16,2016,Unprovoked,AUSTRALIA,New South Wales,Kingscliff,Spearfishing,0,"No injury, but sharks repeatedly hit their fins and guns",NO DATA,0,1
