,case_number_id,country,empire,fatal,area,location,activity,injury,type_of_attack
0,2016.09.18.c,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to thigh,Unprovoked
1,2016.09.18.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to hands,Unprovoked
2,2016.09.18.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to lower leg,Unprovoked
3,2016.09.17,AUSTRALIA,UNITED KINGDOM,False,Victoria,Thirteenth Beach,Surfing,Struck by fin on chest & leg,Unprovoked
4,2016.09.15,AUSTRALIA,UNITED KINGDOM,False,Victoria,Bells Beach,Surfing,No injury: Knocked off board by shark,Unprovoked
5,2016.09.15.R,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Bunbury,Fishing,Shark rammed boat. No injury to occupant,Boat
6,2016.09.11,USA,UNITED KINGDOM,False,Florida,"Ponte Vedra, St. Johns County",Wading,Minor injury to arm,Unprovoked
7,2016.09.07,USA,UNITED KINGDOM,False,Hawaii,"Makaha, Oahu",Swimming,Severe lacerations to shoulder & forearm,Unprovoked
8,2016.09.06,NEW CALEDONIA,FRANCE,True,North Province,Koumac,Kite surfing,FATAL,Unprovoked
9,2016.09.05.b,USA,UNITED KINGDOM,False,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,Lacerations & punctures to lower right leg,Unprovoked
10,2016.09.05.a,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Injidup ,Surfing,"No inury, board broken in half by shark",Unprovoked
11,2016.09.04,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Body boarding,Foot bitten,Unprovoked
12,2016.09.01,USA,UNITED KINGDOM,False,California,"Refugio State Beach, Santa Barbara County",Spearfishing,Two toes broken & lacerated,Unprovoked
13,2016.08.29.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Lacerations to right foot,Unprovoked
14,2016.08.29.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to ankle,Unprovoked
15,2016.08.27,REUNION,FRANCE,False,,Boucan Canot,Surfing,"Right arm severed, ankle severely bitten ",Unprovoked
16,2016.08.25,USA,UNITED KINGDOM,False,Florida,"Ponte Vedra, St. Johns County",Wading,Minor injury to ankle,Unprovoked
17,2016.08.07,BAHAMAS,UNITED KINGDOM,False,New Providence Island,Nassau,Snorkeling,Lacerations to left leg,Unprovoked
18,2016.08.06,USA,UNITED KINGDOM,False,Hawaii,Maui,SUP Foil boarding,"No inury, shark & board collided",Unprovoked
19,2016.08.04,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Big toe bitten,Unprovoked
20,2016.07.29,SPAIN,SPAIN,False,Alicante Province,Arenales del Sol,Swimming,Lacerations to right hand,Unprovoked
21,2016.07.28.R,CHINA,OTHER,False,Hong Kong,,Swimming,Lacerations to leg,Unprovoked
22,2016.07.28,AUSTRALIA,UNITED KINGDOM,False,Western Australia,Near Albany,Kayaking,"No injury, shark nudged kayak repeatedly",Boat
23,2016.07.27,USA,UNITED KINGDOM,False,Florida,"Florida Keys, Monroe County",Lobstering,Laceration to left forearm PROVOKED INCIDENT,Provoked
24,2016.07.26,AUSTRALIA,UNITED KINGDOM,False,New South Wales,"Sharpes Beach, Ballina",Surfing,"No injury. Leg rope severed, knocked off board by shark",Unprovoked
25,2016.07.24,JAPAN,OTHER,False,Kochi Prefecture,Irino Beach,Surfing,Lacerations to left leg,Unprovoked
26,2016.07.23.b,AUSTRALIA,UNITED KINGDOM,False,Tasmania,Clifton Beach,Surfing,Calf bumped but no injury,Unprovoked
27,2016.07.23.a,BAHAMAS,UNITED KINGDOM,False,Abaco Islands,Green Turtle Cay,Spearfishing,Lacerations to face and right leg,Unprovoked
28,2016.07.20,AUSTRALIA,UNITED KINGDOM,False,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,Provoked
29,2016.07.17,USA,UNITED KINGDOM,False,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,"No injury, shark bit trolling motor",Boat
30,2016.07.16.b,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",Surfing,Minor injury to leg,Unprovoked
31,2016.07.16.a,USA,UNITED KINGDOM,False,Florida,"New Smyrna Beach, Volusia County",,Minor injury to toes,Unprovoked
32,2016.07.15,USA,UNITED KINGDOM,False,South Carolina,"North Myrtle Beach, Horry County",Swimming,Puncture wounds to foot,Unprovoked
