Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2016.09.18.c,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2016.09.18.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2016.09.18.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2016.09.17,2016,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,Surfing,M,Injured,N,
2016.09.15,2016,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,No injury,N,2 m shark
2016.09.15.R,2016,Boat,AUSTRALIA,Western Australia,Bunbury,Fishing,0,No injury,N,
2016.09.11,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,Injured,N,3' to 4' shark
2016.09.07,2016,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,Severed,N,"Tiger shark, 10?"
2016.09.06,2016,Unprovoked,NEW CALEDONIA,North Province,Koumac,Kite surfing,M,Fatal,Y,
2016.09.05.b,2016,Unprovoked,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Boogie boarding,F,Injured,N,
2016.09.05.a,2016,Unprovoked,AUSTRALIA,Western Australia,Injidup ,Surfing,M,No injury,N,
2016.09.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,Bitten,N,
2016.09.01,2016,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",Spearfishing,M,Injured,N,White shark
2016.08.29.b,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,"Bull shark, 6'"
2016.08.29.a,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2016.08.27,2016,Unprovoked,REUNION,,Boucan Canot,Surfing,M,Severed,N,"Bull shark, 3.5 m"
2016.08.25,2016,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,Injured,N,
2016.08.07,2016,Unprovoked,BAHAMAS,New Providence Island,Nassau,Snorkeling,M,Injured,N,
2016.08.06,2016,Unprovoked,USA,Hawaii,Maui,SUP Foil boarding,M,No injury,N,"Tiger shark, 10' "
2016.08.04,2016,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,Blacktip shark
2016.07.29,2016,Unprovoked,SPAIN,Alicante Province,Arenales del Sol,Swimming,M,Injured,N,Blue shark
2016.07.28.R,2016,Unprovoked,CHINA,Hong Kong,,Swimming,M,Injured,N,
2016.07.28,2016,Boat,AUSTRALIA,Western Australia,Near Albany,Kayaking,M,No injury,N,White shark
