,id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,longNameProvince,population,percentObese
0,AVz3Y-7h3D1zeR_xDAqm,2017-06-30T05:05:40Z,2019-05-01T15:43:09Z,4203 E Kiehl Ave,italian,Accommodation & Food Services,Sherwood,US,7.98,7.98,USD,"2018-05-01T04:25:37.197Z,2018-04-16T04:36:02.356Z,2018-02-15T19:58:01.612Z,2018-04-02T23:29:46.353Z,2018-06-28T11:37:25.942Z",Cheese Pizza,Shotgun Dans Pizza,72120,USD,0,25,AR,Arkansas,3013825,28.1
1,AVweGPFF_7pvs4fzAAzQ,2016-04-02T04:02:49Z,2019-05-01T15:27:50Z,25 E Camelback Rd,italian,Accommodation & Food Services,Phoenix,US,6.0,6.0,USD,"2018-03-03T02:38:06.381Z,2018-01-18T20:18:10.025Z,2018-01-18T18:19:22.806Z,2018-01-19T19:16:42.777Z,2018-01-12T10:31:22.594Z,2018-01-19T03:50:04.109Z,2017-12-17T06:37:40.912Z,2017-12-08T18:52:04.504Z",Pizza Cookie,Sauce Pizza Wine,85012,USD,0,25,AZ,Arizona,7171646,23.3
2,AVwdRGa9_7pvs4fz4E3K,2016-03-03T18:39:49Z,2019-05-01T12:52:25Z,3703 Paxton Ave,italian,Accommodation & Food Services,Cincinnati,US,6.49,6.49,USD,"2018-04-10T07:58:34.585Z,2018-04-21T05:43:21.445Z,2018-04-29T18:10:47.500Z",Pizza Blanca,Mios Pizzeria,45209,USD,0,25,OH,Ohio,11689442,26.9
3,AVwdX4psIN2L1WUfvJB1,2016-03-29T05:08:59Z,2019-05-01T12:52:20Z,30495 John R Rd,italian,Accommodation & Food Services,Madison Heights,US,5.99,5.99,USD,"2016-10-20T21:50:02Z,2016-03-29T05:08:59Z",Small Pizza,Hungry Howies Pizza,48071,USD,25,40,MI,Michigan,9995915,27.7
4,AVwdaeTtkufWRAb55pSH,2016-03-31T02:34:04Z,2019-05-01T12:50:45Z,3600 Eastern Ave,italian,Accommodation & Food Services,Baltimore,US,5.49,5.49,USD,2016-03-31T02:34:04Z,Pizza Sub,Spartan Pizzeria,21224,USD,0,25,MD,Maryland,6042718,25.2
5,AVwdaeTtkufWRAb55pSH,2016-03-31T02:34:04Z,2019-05-01T12:50:45Z,3600 Eastern Ave,italian,Accommodation & Food Services,Baltimore,US,10.99,10.99,USD,2016-03-31T02:34:04Z,White Pizza,Spartan Pizzeria,21224,USD,0,25,MD,Maryland,6042718,25.2
6,AVwckQhv_7pvs4fzwhpf,2016-04-22T02:28:48Z,2019-05-01T12:50:22Z,1834 Euclid Ave,italian,Accommodation & Food Services,Berkeley,US,4.99,4.99,USD,"2018-02-22T11:10:19.468Z,2018-01-22T03:13:03.320Z,2018-01-19T23:33:26.697Z,2018-01-09T23:15:09.495Z,2016-04-22T02:29:00.000Z,2016-05-25T05:11:00.000Z,2016-10-11T08:53:00.000Z",Two Topping Pizza,La Vals,94709,USD,0,25,CA,California,39557045,23.1
7,AVwckQhv_7pvs4fzwhpf,2016-04-22T02:28:48Z,2019-05-01T12:50:22Z,1834 Euclid Ave,italian,Accommodation & Food Services,Berkeley,US,5.39,5.39,USD,"2018-02-22T11:10:19.468Z,2018-01-22T03:13:03.321Z,2018-01-19T23:33:26.697Z,2018-01-09T23:15:09.496Z",Three Or More Topping Pizza,La Vals,94709,USD,0,25,CA,California,39557045,23.1
8,AVwcvnln_7pvs4fzyfqZ,2016-04-01T06:35:24Z,2019-05-01T12:49:06Z,4819 Kerry Forest Pkwy,italian,Accommodation & Food Services,Tallahassee,US,2.5,2.5,USD,"2017-10-18T11:36:00.000Z,2018-01-22T20:32:19.131Z,2018-01-23T18:40:50.635Z,2018-01-23T01:58:02.249Z,2018-01-19T14:26:11.457Z,2018-02-26T12:49:23.183Z,2017-12-16T17:11:00.000Z,2017-12-07T18:26:00.000Z,2018-01-11T17:00:15.603Z,2017-10-26T12:05:00.000Z,2018-03-31T02:24:44.705Z",Pizza,Brickyard Pizza,32309,USD,0,25,FL,Florida,21299325,23.3
9,AVwcvnln_7pvs4fzyfqZ,2016-04-01T06:35:24Z,2019-05-01T12:49:06Z,4819 Kerry Forest Pkwy,italian,Accommodation & Food Services,Tallahassee,US,11.99,11.99,USD,"2017-10-18T11:36:00.000Z,2018-01-22T20:32:19.131Z,2018-01-23T18:40:50.635Z,2018-01-19T14:26:11.458Z,2018-02-26T12:49:23.183Z,2017-12-16T17:11:00.000Z,2017-12-07T18:26:00.000Z,2018-01-23T01:58:02.250Z,2018-01-11T17:00:15.603Z,2017-10-26T12:05:00.000Z,2018-03-31T02:24:44.705Z",Pizza,Brickyard Pizza,32309,USD,0,25,FL,Florida,21299325,23.3
10,AVwchRVZkufWRAb5wDIV,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,italian,Accommodation & Food Services,Grand Rapids,US,7.43,7.43,USD,"2018-04-26T21:25:35.238Z,2018-05-01T09:33:47.530Z,2018-06-05T01:35:19.210Z,2018-04-14T05:50:46.205Z,2018-04-03T00:06:02.516Z,2018-02-07T04:39:54.561Z,2018-05-22T00:49:40.466Z",Kids Cheese Pizza,Carrabbas Italian Grill,49512,USD,25,40,MI,Michigan,9995915,27.7
11,AVwchRVZkufWRAb5wDIV,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,italian,Accommodation & Food Services,Grand Rapids,US,18.21,18.21,USD,"2018-04-26T21:25:35.237Z,2018-06-05T01:35:19.209Z,2018-05-01T09:33:47.530Z,2018-04-14T05:50:46.205Z,2018-04-03T00:06:02.516Z,2018-02-07T04:39:54.561Z,2018-05-22T00:49:40.466Z",Create Your Own Pizza,Carrabbas Italian Grill,49512,USD,25,40,MI,Michigan,9995915,27.7
12,AVwchRVZkufWRAb5wDIV,2016-03-29T04:47:31Z,2019-05-01T12:42:34Z,4061 28th St SE,italian,Accommodation & Food Services,Grand Rapids,US,15.92,15.92,USD,"2018-04-26T21:25:35.237Z,2018-06-05T01:35:19.209Z,2018-05-01T09:33:47.530Z,2018-04-14T05:50:46.205Z,2018-04-03T00:06:02.516Z,2018-02-07T04:39:54.561Z,2018-05-22T00:49:40.466Z",Prosciutto Arugula Pizza,Carrabbas Italian Grill,49512,USD,25,40,MI,Michigan,9995915,27.7
