,eventid,iyear,imonth,iday,country,country_txt,city,summary,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,target1,natlty1,natlty1_txt,gname,motive,individual,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,nwoundte,nkil
5,197001010002,1970,1,1,217,United States,Cairo,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,1,1,0,0,1,0,2,Armed Assault,3,Police,Cairo Police Headquarters,217,United States,Black Nationalists,To protest the Cairo Illinois Police Deparment,0,-99,5,Firearms,5,Unknown Gun Type,Several gunshots were fired.,0.0,0,0,0,0
7,197001020002,1970,1,2,217,United States,Oakland,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",1,1,1,1,0,1,0,3,Bombing/Explosion,21,Utilities,Edes Substation,217,United States,Unknown,,0,-99,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
8,197001020003,1970,1,2,217,United States,Madison,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,4,Military,"R.O.T.C. offices at University of Wisconsin, Madison",217,United States,New Year's Gang,To protest the War in Vietnam and the draft,0,1,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb consisting of gasoline,0.0,0,0,0,0
9,197001030001,1970,1,3,217,United States,Madison,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Selective Service Headquarters in Madison Wisconsin,217,United States,New Year's Gang,To protest the War in Vietnam and the draft,0,1,8,Incendiary,20,Gasoline or Alcohol,Poured gasoline on the floor and lit it with a match,0.0,0,0,0,0
10,197001050001,1970,1,1,217,United States,Baraboo,,1,1,0,1,0,0,0,3,Bombing/Explosion,4,Military,Badger Army ammo depot.,217,United States,"Weather Underground, Weathermen",,0,,6,Explosives,16,Unknown Explosive Type,Explosive,0.0,,0,,0
11,197001060001,1970,1,6,217,United States,Denver,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,4,Military,"Army Recruiting Station, Denver Colorado",217,United States,Left-Wing Militants,Protest the draft and Vietnam War,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Molotov cocktail,0.0,0,0,0,0
13,197001090001,1970,1,9,217,United States,Detroit,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,2,Government (General),Packard Properties building of Detroit Michigan,217,United States,Left-Wing Militants,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
14,197001090002,1970,1,9,217,United States,Rio Piedras,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",1,1,1,1,0,1,0,7,Facility/Infrastructure Attack,1,Business,Baker's Store,217,United States,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,0,-99,8,Incendiary,18,Arson/Fire,Fire set in back of store,0.0,0,0,0,0
17,197001120001,1970,1,12,217,United States,New York City,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,James Madison High School,217,United States,Black Nationalists,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0,-99,6,Explosives,31,Pipe Bomb,Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.,0.0,0,0,0,0
18,197001120002,1970,1,12,217,United States,Rio Grande,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,1,Business,General Electric factory in Rio Grande Puerto Rico,217,United States,Strikers,,0,-99,6,Explosives,16,Unknown Explosive Type,Bomb,0.0,0,0,0,0
19,197001130001,1970,1,13,217,United States,Seattle,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,1,Business,"Fuson's Department Store, Seattle Washington",217,United States,Black Nationalists,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb,0.0,0,0,0,0
20,197001140001,1970,1,14,217,United States,Champaign,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,3,Police,Champaign Police Department,217,United States,Black Nationalists,,0,-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,Firebomb thrown through window,0.0,0,1,0,0
22,197001190002,1970,1,19,217,United States,Seattle,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,1,1,0,0,1,0,3,Bombing/Explosion,8,Educational Institution,"Liberal Arts and Garrand buildings, Seattle University",217,United States,Black Nationalists,The incident took place during disturbances between the Black Student Union and the university.,0,3,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
23,197001190003,1970,1,19,217,United States,Seattle,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",1,1,1,0,0,0,0,3,Bombing/Explosion,4,Military,Air Force R.O.T.C. at the University of Washington,217,United States,Student Radicals,The incident took place during heightened antiwar sentiments in Seattle Washington.,0,2,6,Explosives,16,Unknown Explosive Type,,0.0,0,0,0,0
24,197001190004,1970,1,19,217,United States,Jersey City,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",1,1,1,0,0,1,0,7,Facility/Infrastructure Attack,22,Violent Political Party,Headquarters,217,United States,White extremists,Intimidate the Black Panther Party.,0,-99,8,Incendiary,18,Arson/Fire,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.,0.0,0,0,0,0
